$map << EOD
-0.26 -0.15 85.57
-0.21 -0.16 84.63
-0.25 -0.20 84.83


-0.23 0.15 85.52
-0.17 0.16 84.80
-0.20 0.10 85.72
-0.23 0.15 85.52


0.27 0.65 78.06
0.36 0.61 78.05
0.27 0.57 77.37
0.27 0.65 78.06


-0.08 0.29 85.89
-0.01 0.26 82.95
-0.03 0.22 82.61
-0.08 0.29 85.89


-0.17 0.16 84.80
-0.20 0.20 84.95
-0.14 0.21 84.69
-0.17 0.16 84.80


0.33 -0.07 64.10
0.25 -0.14 66.53
0.23 -0.04 68.61
0.33 -0.07 64.10


0.59 -0.48 44.11
0.69 -0.52 40.13
0.60 -0.56 40.57
0.59 -0.48 44.11


0.42 0.46 73.11
0.52 0.50 72.57
0.49 0.43 70.58
0.42 0.46 73.11


0.44 -0.11 58.51
0.33 -0.07 64.10
0.41 -0.00 61.82
0.44 -0.11 58.51


0.48 -0.70 41.52
0.48 -0.56 45.96
0.56 -0.64 38.11
0.48 -0.70 41.52


-0.11 0.04 83.20
-0.15 -0.03 84.37
-0.17 0.02 85.45
-0.11 0.04 83.20


0.69 -0.52 40.13
0.65 -0.61 35.70
0.60 -0.56 40.57
0.69 -0.52 40.13


0.31 0.03 66.58
0.33 -0.07 64.10
0.23 -0.04 68.61
0.31 0.03 66.58


0.56 0.70 81.90
0.54 0.60 76.26
0.48 0.69 82.67
0.56 0.70 81.90


0.26 -0.49 59.19
0.15 -0.42 66.24
0.28 -0.40 60.20
0.26 -0.49 59.19


0.04 0.11 78.41
0.04 0.20 80.00
0.12 0.16 76.38
0.04 0.11 78.41


-0.09 -0.45 80.11
-0.15 -0.36 88.81
-0.10 -0.35 82.78
-0.09 -0.45 80.11


0.04 0.20 80.00
-0.02 0.16 81.37
-0.03 0.22 82.61
0.04 0.20 80.00


1.00 0.00 0.00
0.96 -0.10 27.82
0.89 -0.02 28.97
1.00 0.00 0.00


0.61 -0.30 47.97
0.69 -0.35 44.55
0.58 -0.39 46.97
0.61 -0.30 47.97


0.13 0.08 74.63
0.20 0.15 73.06
0.22 0.06 70.79
0.13 0.08 74.63


0.68 0.08 50.99
0.68 0.18 54.82
0.78 0.17 49.04
0.68 0.08 50.99


0.81 0.07 41.13
0.68 0.08 50.99
0.78 0.17 49.04
0.81 0.07 41.13


0.33 0.43 74.30
0.37 0.34 71.01
0.28 0.36 74.24
0.33 0.43 74.30


-0.11 0.04 83.20
-0.09 -0.03 82.16
-0.15 -0.03 84.37
-0.11 0.04 83.20


0.05 0.50 81.12
0.14 0.46 78.91
0.07 0.43 81.32
0.05 0.50 81.12


0.37 0.34 71.01
0.47 0.36 68.76
0.41 0.26 67.79
0.37 0.34 71.01


0.57 0.40 67.28
0.65 0.31 61.18
0.56 0.31 64.31
0.57 0.40 67.28


0.14 0.46 78.91
0.25 0.47 76.49
0.19 0.38 77.05
0.14 0.46 78.91


0.03 0.38 83.77
0.11 0.38 79.79
0.06 0.30 81.03
0.03 0.38 83.77


0.13 0.08 74.63
0.15 -0.01 72.69
0.07 0.04 76.43
0.13 0.08 74.63


0.11 0.38 79.79
0.14 0.46 78.91
0.19 0.38 77.05
0.11 0.38 79.79


-0.02 -0.19 78.15
-0.05 -0.12 79.57
0.01 -0.10 77.19
-0.02 -0.19 78.15


0.33 -0.07 64.10
0.44 -0.11 58.51
0.34 -0.16 62.02
0.33 -0.07 64.10


-0.03 -0.06 79.54
0.01 -0.01 78.10
0.01 -0.10 77.19
-0.03 -0.06 79.54


0.27 0.65 78.06
0.35 0.70 80.07
0.36 0.61 78.05
